,businessUnitId,stars,identifyingName,displayName,logoUrl,numberOfReviews,trustScore,location,isRecommendedInCategories,contact,categories
0,56cf01100000ff0005896222,4.5,www.cannacaredocs.com,Canna Care Docs,//s3-eu-west-1.amazonaws.com/tpd/logos/56cf01100000ff0005896222/0x0.png,10913,4.7,"{'address': 'Over 30 Locations to serve you', 'city': None, 'zipCode': None, 'country': 'United States'}",True,"{'website': 'http://www.cannacaredocs.com/', 'email': 'info@cannacaredocs.com', 'phone': '(866) 846-2420'}","[{'categoryId': 'alternative_medicine_practitioner', 'displayName': 'Alternative Medicine Practitioner', 'isPredicted': False}]"
1,5cba1bc3001a030001a806fc,4.0,helloalpha.com,Hello Alpha,//s3-eu-west-1.amazonaws.com/tpd/logos/5cba1bc3001a030001a806fc/0x0.png,8072,4.1,"{'address': None, 'city': None, 'zipCode': None, 'country': 'United States'}",True,"{'website': 'http://helloalpha.com', 'email': 'contact@helloalpha.com', 'phone': None}","[{'categoryId': 'obstetrics_gynecology_clinic', 'displayName': ""Women's Health Clinic"", 'isPredicted': False}, {'categoryId': 'doctor', 'displayName': 'Doctor', 'isPredicted': False}, {'categoryId': 'mental_health_service', 'displayName': 'Mental Health Service', 'isPredicted': False}]"
2,6321d57a480d0fdd3810c80f,5.0,cannabismdtelemed.com,CannabisMD TeleMed,//s3-eu-west-1.amazonaws.com/tpd/logos/6321d57a480d0fdd3810c80f/0x0.png,6152,5.0,"{'address': '1230 Alverser Dr Ste 103', 'city': 'Midlothian', 'zipCode': '23113', 'country': 'United States'}",True,"{'website': 'http://cannabismdtelemed.com', 'email': 'hello@cannabismdtelemed.com', 'phone': '804-893-5068'}","[{'categoryId': 'alternative_medicine_practitioner', 'displayName': 'Alternative Medicine Practitioner', 'isPredicted': False}]"
3,63dc07581d8f883d27c5513d,4.5,24hrdoc.com,24hrdoc,//s3-eu-west-1.amazonaws.com/tpd/logos/63dc07581d8f883d27c5513d/0x0.png,5736,4.3,"{'address': '3050 Post Oak Blvd', 'city': 'Houston', 'zipCode': '77056', 'country': 'United States'}",True,"{'website': 'http://24hrdoc.com', 'email': 'services@24hrdoc.com', 'phone': '832-838-4746'}","[{'categoryId': 'medical_clinic', 'displayName': 'Medical Clinic', 'isPredicted': False}, {'categoryId': 'std_clinic', 'displayName': 'STD Clinic', 'isPredicted': False}, {'categoryId': 'dental_clinic', 'displayName': 'Dental Clinic', 'isPredicted': False}]"
4,5d0922486401330001588153,4.0,callondoc.com,CallonDoc,//s3-eu-west-1.amazonaws.com/tpd/logos/5d0922486401330001588153/0x0.png,5118,4.1,"{'address': '8355 Walnut Hill Ln', 'city': 'Dallas', 'zipCode': '75231', 'country': 'United States'}",False,"{'website': 'https://callondoc.com/en/consultation', 'email': 'provider@callondoc.com', 'phone': None}","[{'categoryId': 'dermatologist', 'displayName': 'Dermatologist', 'isPredicted': False}, {'categoryId': 'std_clinic', 'displayName': 'STD Clinic', 'isPredicted': False}, {'categoryId': 'urgent_care_center', 'displayName': 'Urgent Care Center', 'isPredicted': False}, {'categoryId': 'pediatrician', 'displayName': 'Pediatrician', 'isPredicted': False}, {'categoryId': 'std_testing_service', 'displayName': 'STD Testing Service', 'isPredicted': False}, {'categoryId': 'medical_clinic', 'displayName': 'Medical Clinic', 'isPredicted': False}]"
5,5ef1f1d5de0cb70001f4d84f,5.0,relaxedclarity.com,Relaxed Clarity,//s3-eu-west-1.amazonaws.com/tpd/logos/5ef1f1d5de0cb70001f4d84f/0x0.png,4853,4.9,"{'address': '1006 Depot Hill Road, Suite 100', 'city': 'Broomfield', 'zipCode': '80020', 'country': 'United States'}",True,"{'website': 'http://www.relaxedclarity.com', 'email': 'info@relaxedclarity.com', 'phone': '9704125955'}","[{'categoryId': 'alternative_medicine_practitioner', 'displayName': 'Alternative Medicine Practitioner', 'isPredicted': False}]"
6,5cfa9a1d3ce3c100015344f5,4.5,bettermedcare.com,BetterMed Urgent Care,//s3-eu-west-1.amazonaws.com/tpd/logos/5cfa9a1d3ce3c100015344f5/0x0.png,4817,4.4,"{'address': '3200 Rockbridge St.', 'city': 'Richmond', 'zipCode': '23230', 'country': 'United States'}",False,"{'website': 'http://bettermedcare.com', 'email': 'info@bettermedcare.com', 'phone': '804-386-0200'}","[{'categoryId': 'urgent_care_center', 'displayName': 'Urgent Care Center', 'isPredicted': False}, {'categoryId': 'walk_in_clinic', 'displayName': 'Walk-In Clinic', 'isPredicted': False}]"
7,5b870181e0ee2e0001c31061,4.5,shop.drcolbert.com,Divine Health® Dr. Colbert,//s3-eu-west-1.amazonaws.com/tpd/logos/5b870181e0ee2e0001c31061/0x0.png,4269,4.5,"{'address': '325 Morrison Park Drive, Suite 130', 'city': 'Southlake', 'zipCode': '76092', 'country': 'United States'}",True,"{'website': 'https://DivineHealth.com', 'email': 'todd@divinehealth.com', 'phone': '4077326952'}","[{'categoryId': 'holistic_medicine_practitioner', 'displayName': 'Holistic Medicine Practitioner', 'isPredicted': False}, {'categoryId': 'weight_loss_service', 'displayName': 'Weight Loss Service', 'isPredicted': False}, {'categoryId': 'wellness_program', 'displayName': 'Wellness Program', 'isPredicted': False}, {'categoryId': 'vitamin_and_supplements_store', 'displayName': 'Vitamin and Supplements Store', 'isPredicted': False}, {'categoryId': 'doctor', 'displayName': 'Doctor', 'isPredicted': False}, {'categoryId': 'fitness_and_nutrition_service', 'displayName': 'Fitness and Nutrition Service', 'isPredicted': False}]"
8,63caa6848fcd1c82bbeac42d,5.0,leafwell.com,Leafwell,//s3-eu-west-1.amazonaws.com/tpd/logos/63caa6848fcd1c82bbeac42d/0x0.png,4220,4.8,"{'address': '9100 South Dadeland Blvd, Suite 1701', 'city': 'Miami', 'zipCode': '33516', 'country': 'United States'}",True,"{'website': 'https://leafwell.com', 'email': 'support@leafwell.com', 'phone': '+1 (800) 660-9085'}","[{'categoryId': 'alternative_medicine_practitioner', 'displayName': 'Alternative Medicine Practitioner', 'isPredicted': False}]"
9,6215772a89423feabd68f6a4,5.0,defymedical.com,Defy Medical,//s3-eu-west-1.amazonaws.com/tpd/logos/6215772a89423feabd68f6a4/0x0.png,2355,4.9,"{'address': ' 4809 N Armenia Ave UNIT 220', 'city': 'Tampa', 'zipCode': '33603', 'country': 'United States'}",True,"{'website': 'http://www.defymedical.com', 'email': 'Care@defymedical.com', 'phone': '813-445-7342'}","[{'categoryId': 'mental_health_service', 'displayName': 'Mental Health Service', 'isPredicted': False}, {'categoryId': 'doctor', 'displayName': 'Doctor', 'isPredicted': False}, {'categoryId': 'obstetrics_gynecology_clinic', 'displayName': ""Women's Health Clinic"", 'isPredicted': False}, {'categoryId': 'specialized_clinic', 'displayName': 'Specialized Clinic', 'isPredicted': False}, {'categoryId': 'pain_management_physician', 'displayName': 'Pain Management Physician', 'isPredicted': False}, {'categoryId': 'medical_clinic', 'displayName': 'Medical Clinic', 'isPredicted': False}]"
